file,class,method,variable,usage
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,loadFileAsResource/1[java.lang.String],fileStorageLocation,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,storeFile/1[br.ufrn.ePET.service.MultipartFile],fileStorageLocation,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,FileStorageService/1[br.ufrn.ePET.config.FileStorageConfig],fileStorageLocation,2
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailEsqueciSenha/2[br.ufrn.ePET.models.ValidadorUsuario,java.lang.String]",javaMailSender,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailConfirmacaoCadastroSite/3[br.ufrn.ePET.models.ValidadorUsuario,java.lang.String,java.lang.String]",javaMailSender,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailInscricaoCanceladaEvento/3[java.lang.String,java.lang.String,java.lang.String]",javaMailSender,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"EmailService/2[br.ufrn.ePET.service.JavaMailSender,br.ufrn.ePET.repository.ParticipanteRepository]",participanteRepository,3
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"EmailService/2[br.ufrn.ePET.service.JavaMailSender,br.ufrn.ePET.repository.ParticipanteRepository]",javaMailSender,3
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailConfirmacaoEvento/4[java.lang.String,java.lang.String,java.lang.String,boolean]",javaMailSender,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/NoticiaService.java,br.ufrn.ePET.service.NoticiaService,buscar/1[java.lang.Long],noticiaRepository,2
