file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/DisciplinaRepository.java,br.ufrn.ePET.repository.DisciplinaRepository,"findbyNomeOuCodigoAtivo/2[java.lang.String,br.ufrn.ePET.repository.Pageable]",false,16,4,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/DisciplinaRepository.java,br.ufrn.ePET.repository.DisciplinaRepository,findByCode/1[java.lang.String],false,10,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/DisciplinaRepository.java,br.ufrn.ePET.repository.DisciplinaRepository,"findbyNomeOuCodigo/2[java.lang.String,br.ufrn.ePET.repository.Pageable]",false,13,4,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/DisciplinaRepository.java,br.ufrn.ePET.repository.DisciplinaRepository,findByAtivos/1[br.ufrn.ePET.repository.Pageable],false,19,4,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,loadFileAsResource/1[java.lang.String],false,63,2,1,1,0,3,4,14,2,2,1,4,0,0,0,0,1,0,0,0,2,0,2,0,0,0,12,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,storeFile/1[br.ufrn.ePET.service.MultipartFile],false,35,1,4,4,0,3,12,16,1,4,1,12,0,0,0,0,1,0,5,0,4,3,2,0,0,0,30,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,FileStorageService/1[br.ufrn.ePET.config.FileStorageConfig],true,24,2,1,0,1,2,5,8,0,0,1,5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,8,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/Periodo_EventoReposioty.java,br.ufrn.ePET.repository.Periodo_EventoReposioty,"findByEventoID/2[java.lang.Long,br.ufrn.ePET.repository.Pageable]",false,14,4,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/Periodo_EventoReposioty.java,br.ufrn.ePET.repository.Periodo_EventoReposioty,findByEvento/1[br.ufrn.ePET.models.Evento],false,17,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailEsqueciSenha/2[br.ufrn.ePET.models.ValidadorUsuario,java.lang.String]",false,142,2,1,1,0,2,5,12,0,1,2,5,0,0,0,0,1,0,5,0,1,2,1,0,0,0,27,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"emailEnviarAgendadoEvento/4[br.ufrn.ePET.service.SimpleMailMessage,java.time.LocalDate,int,long]",false,95,2,3,1,2,1,3,14,0,2,4,3,1,1,0,0,0,0,0,0,2,0,0,1,0,0,21,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailConfirmacaoCadastroSite/3[br.ufrn.ePET.models.ValidadorUsuario,java.lang.String,java.lang.String]",false,129,2,2,2,0,2,5,12,0,1,3,5,0,0,0,0,1,0,6,0,1,2,1,0,0,0,26,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"emailEnviarAgendado/3[br.ufrn.ePET.service.SimpleMailMessage,java.time.LocalDate,int]",false,80,2,2,0,2,1,3,10,0,2,3,3,1,1,0,0,0,0,0,0,2,0,0,1,0,0,18,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailInscricaoCanceladaEvento/3[java.lang.String,java.lang.String,java.lang.String]",false,62,1,1,1,0,2,4,12,0,1,3,4,0,0,0,0,1,0,8,0,1,3,1,0,0,0,37,1,0,false
