file,class,method,variable,usage
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/DisciplinaRepository.java,br.ufrn.ePET.repository.DisciplinaRepository,"findbyNomeOuCodigoAtivo/2[java.lang.String,br.ufrn.ePET.repository.Pageable]",search,0
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/DisciplinaRepository.java,br.ufrn.ePET.repository.DisciplinaRepository,"findbyNomeOuCodigoAtivo/2[java.lang.String,br.ufrn.ePET.repository.Pageable]",pageable,0
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/DisciplinaRepository.java,br.ufrn.ePET.repository.DisciplinaRepository,findByCode/1[java.lang.String],codigo,0
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/DisciplinaRepository.java,br.ufrn.ePET.repository.DisciplinaRepository,"findbyNomeOuCodigo/2[java.lang.String,br.ufrn.ePET.repository.Pageable]",search,0
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/DisciplinaRepository.java,br.ufrn.ePET.repository.DisciplinaRepository,"findbyNomeOuCodigo/2[java.lang.String,br.ufrn.ePET.repository.Pageable]",pageable,0
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/DisciplinaRepository.java,br.ufrn.ePET.repository.DisciplinaRepository,findByAtivos/1[br.ufrn.ePET.repository.Pageable],pageable,0
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,loadFileAsResource/1[java.lang.String],fileName,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,loadFileAsResource/1[java.lang.String],ex,0
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,loadFileAsResource/1[java.lang.String],resource,2
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,loadFileAsResource/1[java.lang.String],filePath,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,storeFile/1[br.ufrn.ePET.service.MultipartFile],fileName,4
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,storeFile/1[br.ufrn.ePET.service.MultipartFile],file,2
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,storeFile/1[br.ufrn.ePET.service.MultipartFile],ex,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,storeFile/1[br.ufrn.ePET.service.MultipartFile],dtf,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,storeFile/1[br.ufrn.ePET.service.MultipartFile],now,2
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,storeFile/1[br.ufrn.ePET.service.MultipartFile],targetLocation,2
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,FileStorageService/1[br.ufrn.ePET.config.FileStorageConfig],ex,0
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/FileStorageService.java,br.ufrn.ePET.service.FileStorageService,FileStorageService/1[br.ufrn.ePET.config.FileStorageConfig],fileStorageProperties,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/Periodo_EventoReposioty.java,br.ufrn.ePET.repository.Periodo_EventoReposioty,"findByEventoID/2[java.lang.Long,br.ufrn.ePET.repository.Pageable]",id_evento,0
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/Periodo_EventoReposioty.java,br.ufrn.ePET.repository.Periodo_EventoReposioty,"findByEventoID/2[java.lang.Long,br.ufrn.ePET.repository.Pageable]",pageable,0
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/repository/Periodo_EventoReposioty.java,br.ufrn.ePET.repository.Periodo_EventoReposioty,findByEvento/1[br.ufrn.ePET.models.Evento],evento,0
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailEsqueciSenha/2[br.ufrn.ePET.models.ValidadorUsuario,java.lang.String]",smm,4
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailEsqueciSenha/2[br.ufrn.ePET.models.ValidadorUsuario,java.lang.String]",e,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailEsqueciSenha/2[br.ufrn.ePET.models.ValidadorUsuario,java.lang.String]",validadorUsuario,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailEsqueciSenha/2[br.ufrn.ePET.models.ValidadorUsuario,java.lang.String]",email,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"emailEnviarAgendadoEvento/4[br.ufrn.ePET.service.SimpleMailMessage,java.time.LocalDate,int,long]",horaEnvio,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"emailEnviarAgendadoEvento/4[br.ufrn.ePET.service.SimpleMailMessage,java.time.LocalDate,int,long]",timer,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"emailEnviarAgendadoEvento/4[br.ufrn.ePET.service.SimpleMailMessage,java.time.LocalDate,int,long]",smm,0
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"emailEnviarAgendadoEvento/4[br.ufrn.ePET.service.SimpleMailMessage,java.time.LocalDate,int,long]",c,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"emailEnviarAgendadoEvento/4[br.ufrn.ePET.service.SimpleMailMessage,java.time.LocalDate,int,long]",idEvento,0
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"emailEnviarAgendadoEvento/4[br.ufrn.ePET.service.SimpleMailMessage,java.time.LocalDate,int,long]",dataEnvio,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailConfirmacaoCadastroSite/3[br.ufrn.ePET.models.ValidadorUsuario,java.lang.String,java.lang.String]",smm,4
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailConfirmacaoCadastroSite/3[br.ufrn.ePET.models.ValidadorUsuario,java.lang.String,java.lang.String]",e,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailConfirmacaoCadastroSite/3[br.ufrn.ePET.models.ValidadorUsuario,java.lang.String,java.lang.String]",validadorUsuario,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailConfirmacaoCadastroSite/3[br.ufrn.ePET.models.ValidadorUsuario,java.lang.String,java.lang.String]",nomePessoa,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"enviarEmailConfirmacaoCadastroSite/3[br.ufrn.ePET.models.ValidadorUsuario,java.lang.String,java.lang.String]",emailUsuario,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"emailEnviarAgendado/3[br.ufrn.ePET.service.SimpleMailMessage,java.time.LocalDate,int]",horaEnvio,1
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EmailService.java,br.ufrn.ePET.service.EmailService,"emailEnviarAgendado/3[br.ufrn.ePET.service.SimpleMailMessage,java.time.LocalDate,int]",timer,1
